variant,split,slice,n_predictions,n_months,mean_mape_pct,median_mape_pct
drop_one__target_month_workdays,valid,jan_feb,38,2,6.029010463619369,6.786480862260726
drop_one__target_month_workdays,valid,spring_festival_month,38,2,6.029010463619369,6.786480862260726
drop_one__target_month_workdays,valid,high_nonworkday_month,56,3,5.73951139037458,6.400169510674137
drop_one__target_month_workdays,valid,wd1_5,60,12,8.498219289134523,6.4958799145441635
drop_one__target_month_workdays,valid,wd1_10,120,12,8.476756078007021,6.473336328983979
drop_one__target_month_workdays,valid,jan_feb_wd1_10,20,2,7.287257449266663,7.187922307813206
drop_one__target_month_workdays,valid,spring_wd1_10,20,2,7.287257449266663,7.187922307813206
drop_one__target_month_workdays,test,overall,80,4,14.29151503190398,12.013935760788502
drop_one__target_month_workdays,test,jan_feb,37,2,13.03331564386696,11.704898517442842
drop_one__target_month_workdays,test,spring_festival_month,16,1,9.495443184011162,9.100226288735428
drop_one__target_month_workdays,test,high_nonworkday_month,16,1,9.495443184011162,9.100226288735428
drop_one__target_month_workdays,test,wd1_5,20,4,14.316409576778451,14.259081186344416
drop_one__target_month_workdays,test,wd1_10,40,4,14.539163966468328,14.259081186344416
drop_one__target_month_workdays,test,jan_feb_wd1_10,20,2,12.99895476976042,12.813305665998612
drop_one__target_month_workdays,test,spring_wd1_10,10,1,9.010258208879334,8.920542471340651
drop_one__target_month_nonworkdays,valid,overall,248,12,7.082854769419761,5.795172588544131
drop_one__target_month_nonworkdays,valid,jan_feb,38,2,6.226139727875715,6.364766673713969
drop_one__target_month_nonworkdays,valid,spring_festival_month,38,2,6.226139727875715,6.364766673713969
drop_one__target_month_nonworkdays,valid,high_nonworkday_month,56,3,6.098965018953278,6.773749084823566
drop_one__target_month_nonworkdays,valid,wd1_5,60,12,7.3556156565623585,6.112109388260225
drop_one__target_month_nonworkdays,valid,wd1_10,120,12,7.2497293401044525,5.918263233269695
drop_one__target_month_nonworkdays,valid,jan_feb_wd1_10,20,2,6.428418761414081,6.573183750974993
drop_one__target_month_nonworkdays,valid,spring_wd1_10,20,2,6.428418761414081,6.573183750974993
drop_one__target_month_nonworkdays,test,overall,80,4,12.20629910594312,11.545715018177741
drop_one__target_month_nonworkdays,test,jan_feb,37,2,9.826347235392872,11.704898517442842
drop_one__target_month_nonworkdays,test,spring_festival_month,16,1,4.250364398540755,3.994543255221521
drop_one__target_month_nonworkdays,test,high_nonworkday_month,16,1,4.250364398540755,3.994543255221521
drop_one__target_month_nonworkdays,test,wd1_5,20,4,11.902220333428474,12.132610571043784
drop_one__target_month_nonworkdays,test,wd1_10,40,4,12.052965100835916,12.132610571043784
drop_one__target_month_nonworkdays,test,jan_feb_wd1_10,20,2,9.297616932087353,9.332386799268175
drop_one__target_month_nonworkdays,test,spring_wd1_10,10,1,3.5755868196900336,3.5774310582812765
drop_one__target_month_weekend_days,valid,overall,248,12,7.481762218784106,6.602232449486827
drop_one__target_month_weekend_days,valid,jan_feb,38,2,5.95543926209979,6.626246745037795
drop_one__target_month_weekend_days,valid,spring_festival_month,38,2,5.95543926209979,6.626246745037795
drop_one__target_month_weekend_days,valid,high_nonworkday_month,56,3,5.655736985022978,6.637811513308318
drop_one__target_month_weekend_days,valid,wd1_5,60,12,8.10511016008473,6.729939978830948
drop_one__target_month_weekend_days,valid,wd1_10,120,12,8.024743550739581,6.637811513308318
drop_one__target_month_weekend_days,valid,jan_feb_wd1_10,20,2,7.909273009967554,6.859879394563717
drop_one__target_month_weekend_days,valid,spring_wd1_10,20,2,7.909273009967554,6.859879394563717
drop_one__target_month_weekend_days,test,overall,80,4,12.280425918364836,11.545715018177741
drop_one__target_month_weekend_days,test,jan_feb,37,2,10.679767728768352,11.704898517442842
drop_one__target_month_weekend_days,test,spring_festival_month,16,1,5.213342548152162,5.107689096532623
drop_one__target_month_weekend_days,test,high_nonworkday_month,16,1,5.213342548152162,5.107689096532623
