variant,split,slice,n_predictions,n_months,mean_mape_pct,median_mape_pct,baseline_mean_mape_pct,mape_improvement_pct_point
drop_one__target_month_workdays,valid,wd1_5,60,12,8.498219289134523,6.4958799145441635,8.084677485972055,-0.41354180316246847
drop_one__target_month_workdays,valid,wd1_10,120,12,8.476756078007021,6.473336328983979,7.980121732260401,-0.49663434574662
drop_one__target_month_workdays,valid,jan_feb_wd1_10,20,2,7.287257449266663,7.187922307813206,7.077448985808353,-0.2098084634583106
drop_one__target_month_workdays,valid,spring_wd1_10,20,2,7.287257449266663,7.187922307813206,7.077448985808353,-0.2098084634583106
drop_one__target_month_workdays,test,overall,80,4,14.29151503190398,12.013935760788502,14.940562347198343,0.6490473152943625
drop_one__target_month_workdays,test,jan_feb,37,2,13.03331564386696,11.704898517442842,13.47682153288237,0.44350588901541066
drop_one__target_month_workdays,test,spring_festival_month,16,1,9.495443184011162,9.100226288735428,10.714613015252883,1.2191698312417216
drop_one__target_month_workdays,test,high_nonworkday_month,16,1,9.495443184011162,9.100226288735428,10.714613015252883,1.2191698312417216
drop_one__target_month_workdays,test,wd1_5,20,4,14.316409576778451,14.259081186344416,15.361996498625825,1.0455869218473737
drop_one__target_month_workdays,test,wd1_10,40,4,14.539163966468328,14.259081186344416,15.357152044390187,0.8179880779218589
drop_one__target_month_workdays,test,jan_feb_wd1_10,20,2,12.99895476976042,12.813305665998612,13.710941647755709,0.7119868779952885
drop_one__target_month_workdays,test,spring_wd1_10,10,1,9.010258208879334,8.920542471340651,10.53208971624915,1.521831507369816
drop_one__target_month_nonworkdays,valid,overall,248,12,7.082854769419761,5.795172588544131,7.422426334882697,0.3395715654629363
drop_one__target_month_nonworkdays,valid,jan_feb,38,2,6.226139727875715,6.364766673713969,5.579106495134633,-0.6470332327410819
drop_one__target_month_nonworkdays,valid,spring_festival_month,38,2,6.226139727875715,6.364766673713969,5.579106495134633,-0.6470332327410819
drop_one__target_month_nonworkdays,valid,high_nonworkday_month,56,3,6.098965018953278,6.773749084823566,6.911400540892886,0.8124355219396078
drop_one__target_month_nonworkdays,valid,wd1_5,60,12,7.3556156565623585,6.112109388260225,8.084677485972055,0.7290618294096962
drop_one__target_month_nonworkdays,valid,wd1_10,120,12,7.2497293401044525,5.918263233269695,7.980121732260401,0.7303923921559488
drop_one__target_month_nonworkdays,valid,jan_feb_wd1_10,20,2,6.428418761414081,6.573183750974993,7.077448985808353,0.6490302243942718
drop_one__target_month_nonworkdays,valid,spring_wd1_10,20,2,6.428418761414081,6.573183750974993,7.077448985808353,0.6490302243942718
drop_one__target_month_nonworkdays,test,overall,80,4,12.20629910594312,11.545715018177741,14.940562347198343,2.7342632412552224
drop_one__target_month_nonworkdays,test,jan_feb,37,2,9.826347235392872,11.704898517442842,13.47682153288237,3.650474297489499
drop_one__target_month_nonworkdays,test,spring_festival_month,16,1,4.250364398540755,3.994543255221521,10.714613015252883,6.464248616712128
drop_one__target_month_nonworkdays,test,high_nonworkday_month,16,1,4.250364398540755,3.994543255221521,10.714613015252883,6.464248616712128
drop_one__target_month_nonworkdays,test,wd1_5,20,4,11.902220333428474,12.132610571043784,15.361996498625825,3.4597761651973507
drop_one__target_month_nonworkdays,test,wd1_10,40,4,12.052965100835916,12.132610571043784,15.357152044390187,3.304186943554271
drop_one__target_month_nonworkdays,test,jan_feb_wd1_10,20,2,9.297616932087353,9.332386799268175,13.710941647755709,4.413324715668356
drop_one__target_month_nonworkdays,test,spring_wd1_10,10,1,3.5755868196900336,3.5774310582812765,10.53208971624915,6.956502896559116
drop_one__target_month_weekend_days,valid,overall,248,12,7.481762218784106,6.602232449486827,7.422426334882697,-0.05933588390140887
drop_one__target_month_weekend_days,valid,jan_feb,38,2,5.95543926209979,6.626246745037795,5.579106495134633,-0.37633276696515683
drop_one__target_month_weekend_days,valid,spring_festival_month,38,2,5.95543926209979,6.626246745037795,5.579106495134633,-0.37633276696515683
